date,density,rank_type
2020-04-05,0.8095238095238095,highest
2020-03-31,0.780952380952381,highest
2020-04-06,0.780952380952381,highest
2020-04-02,0.7714285714285715,highest
2020-04-09,0.7619047619047619,highest
2020-04-01,0.7523809523809524,highest
2020-04-07,0.7428571428571429,highest
2020-04-08,0.7428571428571429,highest
2020-03-30,0.7333333333333333,highest
2020-04-04,0.7142857142857143,highest
2020-04-03,0.6952380952380952,highest
2020-04-10,0.6571428571428571,highest
2020-04-25,0.6476190476190476,highest
2020-04-11,0.638095238095238,highest
2020-07-13,0.638095238095238,highest
2020-08-01,0.638095238095238,highest
2020-04-12,0.6285714285714286,highest
2020-04-23,0.6285714285714286,highest
2020-04-24,0.6190476190476191,highest
2020-08-14,0.6190476190476191,highest
2020-04-15,0.6095238095238096,highest
2020-04-29,0.6095238095238096,highest
2020-05-20,0.6095238095238096,highest
2020-05-01,0.6,highest
2020-05-24,0.6,highest
2020-09-19,0.6,highest
2021-03-16,0.6,highest
2020-05-19,0.5904761904761905,highest
2020-05-25,0.5904761904761905,highest
2020-08-13,0.5904761904761905,highest
2020-04-14,0.580952380952381,highest
2020-04-16,0.580952380952381,highest
2020-04-20,0.580952380952381,highest
2020-05-04,0.580952380952381,highest
2020-05-05,0.580952380952381,highest
2020-10-23,0.580952380952381,highest
2020-04-18,0.5714285714285714,highest
2020-04-27,0.5714285714285714,highest
2020-04-28,0.5714285714285714,highest
2020-05-03,0.5714285714285714,highest
2020-05-07,0.5714285714285714,highest
2020-05-23,0.5714285714285714,highest
2020-09-13,0.5714285714285714,highest
2020-04-19,0.5619047619047619,highest
2020-04-21,0.5619047619047619,highest
2020-04-22,0.5619047619047619,highest
2020-04-26,0.5619047619047619,highest
2020-04-30,0.5619047619047619,highest
2020-06-13,0.5619047619047619,highest
2020-06-14,0.5619047619047619,highest
2021-02-19,0.34285714285714286,lowest
2020-11-14,0.3523809523809524,lowest
2020-11-25,0.3523809523809524,lowest
2020-11-24,0.3619047619047619,lowest
2020-11-26,0.3619047619047619,lowest
2020-12-19,0.3619047619047619,lowest
2020-12-20,0.3619047619047619,lowest
2021-02-16,0.3619047619047619,lowest
2021-02-17,0.3619047619047619,lowest
2021-02-21,0.3619047619047619,lowest
2020-07-24,0.37142857142857144,lowest
2020-07-28,0.37142857142857144,lowest
2020-09-06,0.37142857142857144,lowest
2020-10-19,0.37142857142857144,lowest
2021-02-18,0.37142857142857144,lowest
2020-07-26,0.38095238095238093,lowest
2020-07-27,0.38095238095238093,lowest
2020-11-13,0.38095238095238093,lowest
2020-12-14,0.38095238095238093,lowest
2020-12-16,0.38095238095238093,lowest
2020-12-22,0.38095238095238093,lowest
2021-01-12,0.38095238095238093,lowest
2021-01-30,0.38095238095238093,lowest
2021-02-20,0.38095238095238093,lowest
2021-03-10,0.38095238095238093,lowest
2020-07-22,0.3904761904761905,lowest
2020-12-26,0.3904761904761905,lowest
2021-01-29,0.3904761904761905,lowest
2021-02-02,0.3904761904761905,lowest
2021-02-08,0.3904761904761905,lowest
2021-03-07,0.3904761904761905,lowest
2021-03-09,0.3904761904761905,lowest
2020-06-30,0.4,lowest
2020-07-25,0.4,lowest
2020-10-17,0.4,lowest
2020-10-18,0.4,lowest
2020-11-09,0.4,lowest
2020-12-18,0.4,lowest
2020-12-23,0.4,lowest
2021-01-07,0.4,lowest
2021-01-08,0.4,lowest
2021-01-31,0.4,lowest
2021-03-01,0.4,lowest
2020-06-08,0.4095238095238095,lowest
2020-08-27,0.4095238095238095,lowest
2020-11-12,0.4095238095238095,lowest
2020-11-22,0.4095238095238095,lowest
2020-11-23,0.4095238095238095,lowest
2020-11-27,0.4095238095238095,lowest
2020-11-30,0.4095238095238095,lowest
