date,density,rank_type
2020-04-06,0.4,highest
2020-04-05,0.3523809523809524,highest
2020-04-07,0.29523809523809524,highest
2020-03-30,0.2761904761904762,highest
2020-04-26,0.26666666666666666,highest
2020-04-03,0.2571428571428571,highest
2020-04-04,0.2571428571428571,highest
2020-04-27,0.2571428571428571,highest
2020-04-01,0.23809523809523808,highest
2020-04-02,0.23809523809523808,highest
2020-04-08,0.23809523809523808,highest
2020-04-14,0.23809523809523808,highest
2020-04-15,0.23809523809523808,highest
2020-04-19,0.23809523809523808,highest
2020-04-21,0.23809523809523808,highest
2020-04-28,0.23809523809523808,highest
2020-04-30,0.23809523809523808,highest
2020-09-20,0.23809523809523808,highest
2020-03-31,0.22857142857142856,highest
2020-04-10,0.22857142857142856,highest
2020-04-20,0.22857142857142856,highest
2020-04-25,0.22857142857142856,highest
2020-09-19,0.22857142857142856,highest
2020-09-21,0.22857142857142856,highest
2020-04-23,0.21904761904761905,highest
2020-04-24,0.21904761904761905,highest
2020-04-09,0.20952380952380953,highest
2020-04-17,0.20952380952380953,highest
2020-04-18,0.20952380952380953,highest
2020-04-22,0.2,highest
2020-04-29,0.2,highest
2020-09-22,0.2,highest
2020-09-23,0.2,highest
2020-09-18,0.19047619047619047,highest
2020-04-11,0.18095238095238095,highest
2020-04-12,0.18095238095238095,highest
2020-05-01,0.18095238095238095,highest
2020-09-24,0.18095238095238095,highest
2020-04-13,0.17142857142857143,highest
2020-04-16,0.17142857142857143,highest
2020-08-15,0.1619047619047619,highest
2020-08-16,0.1619047619047619,highest
2020-08-17,0.1619047619047619,highest
2020-07-02,0.14285714285714285,highest
2020-08-13,0.14285714285714285,highest
2020-08-14,0.14285714285714285,highest
2020-08-19,0.14285714285714285,highest
2020-09-17,0.14285714285714285,highest
2020-09-25,0.14285714285714285,highest
2020-07-01,0.13333333333333333,highest
2021-01-25,0.0,lowest
2020-07-30,0.009523809523809525,lowest
2020-10-04,0.009523809523809525,lowest
2020-12-08,0.009523809523809525,lowest
2021-01-12,0.009523809523809525,lowest
2021-01-27,0.009523809523809525,lowest
2021-01-28,0.009523809523809525,lowest
2021-01-29,0.009523809523809525,lowest
2021-02-17,0.009523809523809525,lowest
2020-05-16,0.01904761904761905,lowest
2020-05-17,0.01904761904761905,lowest
2020-06-19,0.01904761904761905,lowest
2020-07-26,0.01904761904761905,lowest
2020-10-31,0.01904761904761905,lowest
2020-11-29,0.01904761904761905,lowest
2020-12-06,0.01904761904761905,lowest
2020-12-07,0.01904761904761905,lowest
2020-12-17,0.01904761904761905,lowest
2020-12-19,0.01904761904761905,lowest
2020-12-22,0.01904761904761905,lowest
2020-12-25,0.01904761904761905,lowest
2020-12-26,0.01904761904761905,lowest
2021-01-13,0.01904761904761905,lowest
2021-01-26,0.01904761904761905,lowest
2021-01-30,0.01904761904761905,lowest
2021-01-31,0.01904761904761905,lowest
2021-02-01,0.01904761904761905,lowest
2021-02-02,0.01904761904761905,lowest
2021-02-03,0.01904761904761905,lowest
2021-02-04,0.01904761904761905,lowest
2021-02-05,0.01904761904761905,lowest
2021-02-15,0.01904761904761905,lowest
2021-02-28,0.01904761904761905,lowest
2020-07-21,0.02857142857142857,lowest
2020-07-25,0.02857142857142857,lowest
2020-10-03,0.02857142857142857,lowest
2020-10-05,0.02857142857142857,lowest
2020-11-25,0.02857142857142857,lowest
2020-12-13,0.02857142857142857,lowest
2020-12-15,0.02857142857142857,lowest
2020-12-16,0.02857142857142857,lowest
2020-12-18,0.02857142857142857,lowest
2020-12-24,0.02857142857142857,lowest
2020-12-28,0.02857142857142857,lowest
2021-01-02,0.02857142857142857,lowest
2021-01-24,0.02857142857142857,lowest
2021-02-06,0.02857142857142857,lowest
2021-02-13,0.02857142857142857,lowest
2021-02-14,0.02857142857142857,lowest
2021-02-16,0.02857142857142857,lowest
