date,density,rank_type
2020-04-14,0.3238095238095238,highest
2020-04-15,0.3142857142857143,highest
2020-04-16,0.22857142857142856,highest
2020-04-17,0.1619047619047619,highest
2020-04-18,0.14285714285714285,highest
2020-05-21,0.14285714285714285,highest
2020-05-22,0.14285714285714285,highest
2020-05-23,0.14285714285714285,highest
2020-05-26,0.14285714285714285,highest
2020-04-22,0.13333333333333333,highest
2020-04-23,0.13333333333333333,highest
2020-04-21,0.12380952380952381,highest
2020-04-24,0.12380952380952381,highest
2020-05-25,0.12380952380952381,highest
2020-05-27,0.12380952380952381,highest
2020-04-19,0.11428571428571428,highest
2020-04-20,0.11428571428571428,highest
2020-04-25,0.11428571428571428,highest
2020-04-26,0.11428571428571428,highest
2020-05-28,0.11428571428571428,highest
2020-05-29,0.11428571428571428,highest
2020-04-27,0.10476190476190476,highest
2020-05-20,0.10476190476190476,highest
2020-06-06,0.10476190476190476,highest
2020-04-28,0.09523809523809523,highest
2020-05-24,0.09523809523809523,highest
2020-06-02,0.09523809523809523,highest
2020-06-03,0.09523809523809523,highest
2020-05-19,0.08571428571428572,highest
2020-05-30,0.08571428571428572,highest
2020-06-01,0.08571428571428572,highest
2020-06-04,0.08571428571428572,highest
2020-06-05,0.08571428571428572,highest
2020-04-29,0.0761904761904762,highest
2020-04-30,0.0761904761904762,highest
2020-05-01,0.0761904761904762,highest
2020-05-05,0.0761904761904762,highest
2020-05-06,0.0761904761904762,highest
2020-05-07,0.0761904761904762,highest
2020-05-08,0.0761904761904762,highest
2020-05-18,0.0761904761904762,highest
2020-05-31,0.0761904761904762,highest
2020-08-15,0.0761904761904762,highest
2020-05-02,0.06666666666666667,highest
2020-05-03,0.06666666666666667,highest
2020-05-04,0.06666666666666667,highest
2020-06-07,0.06666666666666667,highest
2020-08-04,0.06666666666666667,highest
2020-08-06,0.06666666666666667,highest
2020-08-07,0.06666666666666667,highest
2020-07-04,0.0,lowest
2020-07-05,0.0,lowest
2020-07-06,0.0,lowest
2020-07-07,0.0,lowest
2020-07-08,0.0,lowest
2020-07-09,0.0,lowest
2020-07-10,0.0,lowest
2020-07-11,0.0,lowest
2020-07-12,0.0,lowest
2020-07-13,0.0,lowest
2020-07-14,0.0,lowest
2020-07-15,0.0,lowest
2020-07-18,0.0,lowest
2020-07-19,0.0,lowest
2020-07-20,0.0,lowest
2020-07-21,0.0,lowest
2020-07-22,0.0,lowest
2020-07-23,0.0,lowest
2020-07-24,0.0,lowest
2020-07-25,0.0,lowest
2020-07-26,0.0,lowest
2020-07-27,0.0,lowest
2020-09-16,0.0,lowest
2020-10-24,0.0,lowest
2020-10-28,0.0,lowest
2020-10-29,0.0,lowest
2020-10-30,0.0,lowest
2020-11-04,0.0,lowest
2020-11-05,0.0,lowest
2020-11-06,0.0,lowest
2020-11-07,0.0,lowest
2020-11-08,0.0,lowest
2020-11-09,0.0,lowest
2020-11-10,0.0,lowest
2020-11-11,0.0,lowest
2020-11-12,0.0,lowest
2020-11-13,0.0,lowest
2020-11-14,0.0,lowest
2020-11-15,0.0,lowest
2020-11-16,0.0,lowest
2020-11-17,0.0,lowest
2020-11-18,0.0,lowest
2020-11-19,0.0,lowest
2020-11-20,0.0,lowest
2020-11-21,0.0,lowest
2020-11-22,0.0,lowest
2020-11-23,0.0,lowest
2020-11-24,0.0,lowest
2020-11-27,0.0,lowest
2020-11-28,0.0,lowest
