date,clustering_coefficient
2020-04-06,0.178021978021978
2020-03-30,0.1296703296703296
2020-04-07,0.1208791208791208
2020-03-31,0.112087912087912
2020-04-05,0.112087912087912
2020-04-04,0.0857142857142857
2020-04-02,0.0747252747252747
2020-04-08,0.0703296703296703
2020-04-01,0.0681318681318681
2020-04-03,0.0681318681318681
2020-05-20,0.0659340659340659
2020-05-21,0.0615384615384615
2020-04-09,0.0505494505494505
2020-05-23,0.0483516483516483
2020-05-22,0.0417582417582417
2020-04-10,0.0351648351648351
2020-04-24,0.0329670329670329
2020-08-13,0.0285714285714285
2020-04-23,0.0263736263736263
2020-05-19,0.0263736263736263
2020-04-25,0.0241758241758241
2020-05-27,0.0241758241758241
2020-05-25,0.0219780219780219
2020-08-02,0.0219780219780219
2020-08-17,0.0219780219780219
2020-05-24,0.0197802197802197
2020-04-11,0.0175824175824175
2020-04-22,0.0175824175824175
2020-05-04,0.0175824175824175
2020-05-05,0.0175824175824175
2020-05-26,0.0153846153846153
2020-05-28,0.0153846153846153
2020-04-12,0.0109890109890109
2020-04-18,0.0109890109890109
2020-04-21,0.0109890109890109
2020-07-31,0.0109890109890109
2020-08-03,0.0109890109890109
2020-08-05,0.0109890109890109
2020-09-20,0.0109890109890109
2020-04-20,0.0087912087912087
2020-04-26,0.0087912087912087
2020-05-06,0.0087912087912087
2020-05-07,0.0087912087912087
2020-05-29,0.0087912087912087
2020-08-12,0.0087912087912087
2020-08-14,0.0087912087912087
2020-09-07,0.0087912087912087
2020-09-19,0.0087912087912087
2020-09-21,0.0087912087912087
2020-04-17,0.0065934065934065
