date,density,rank_type
2020-04-14,0.6761904761904762,highest
2020-04-15,0.638095238095238,highest
2020-04-16,0.6190476190476191,highest
2020-04-17,0.5428571428571428,highest
2020-04-18,0.4857142857142857,highest
2020-05-21,0.45714285714285713,highest
2020-05-22,0.44761904761904764,highest
2020-04-20,0.4380952380952381,highest
2020-05-20,0.4380952380952381,highest
2020-05-23,0.4380952380952381,highest
2020-04-19,0.41904761904761906,highest
2020-05-24,0.4095238095238095,highest
2020-04-21,0.3904761904761905,highest
2020-04-22,0.3904761904761905,highest
2020-04-24,0.3904761904761905,highest
2020-04-27,0.38095238095238093,highest
2020-05-19,0.38095238095238093,highest
2020-05-25,0.38095238095238093,highest
2020-05-30,0.38095238095238093,highest
2020-06-01,0.38095238095238093,highest
2020-06-05,0.38095238095238093,highest
2020-04-25,0.37142857142857144,highest
2020-04-26,0.37142857142857144,highest
2020-06-02,0.37142857142857144,highest
2020-04-28,0.3619047619047619,highest
2020-05-18,0.3619047619047619,highest
2020-05-26,0.3619047619047619,highest
2020-05-29,0.3619047619047619,highest
2020-05-31,0.3619047619047619,highest
2020-05-17,0.3523809523809524,highest
2020-05-27,0.3523809523809524,highest
2020-05-28,0.3523809523809524,highest
2020-06-03,0.3523809523809524,highest
2020-06-04,0.3523809523809524,highest
2020-04-29,0.34285714285714286,highest
2020-05-01,0.3333333333333333,highest
2020-05-16,0.3333333333333333,highest
2020-06-06,0.3333333333333333,highest
2020-04-23,0.3238095238095238,highest
2020-04-30,0.3238095238095238,highest
2020-08-17,0.3238095238095238,highest
2020-08-14,0.3142857142857143,highest
2020-08-16,0.3142857142857143,highest
2020-08-18,0.3142857142857143,highest
2020-05-11,0.3047619047619048,highest
2020-08-13,0.3047619047619048,highest
2020-09-20,0.3047619047619048,highest
2020-05-15,0.29523809523809524,highest
2020-08-15,0.29523809523809524,highest
2020-05-03,0.2857142857142857,highest
2021-03-03,0.0380952380952381,lowest
2021-03-06,0.0380952380952381,lowest
2021-03-08,0.0380952380952381,lowest
2021-03-09,0.0380952380952381,lowest
2021-03-04,0.047619047619047616,lowest
2021-03-07,0.047619047619047616,lowest
2021-03-11,0.047619047619047616,lowest
2021-03-14,0.047619047619047616,lowest
2021-03-15,0.047619047619047616,lowest
2021-02-19,0.05714285714285714,lowest
2021-03-02,0.05714285714285714,lowest
2021-03-05,0.05714285714285714,lowest
2021-03-10,0.05714285714285714,lowest
2021-02-23,0.06666666666666667,lowest
2021-02-27,0.06666666666666667,lowest
2021-03-01,0.06666666666666667,lowest
2021-03-12,0.06666666666666667,lowest
2021-03-13,0.06666666666666667,lowest
2020-11-26,0.0761904761904762,lowest
2021-02-01,0.0761904761904762,lowest
2021-02-13,0.0761904761904762,lowest
2021-02-20,0.0761904761904762,lowest
2021-03-16,0.0761904761904762,lowest
2020-11-16,0.08571428571428572,lowest
2020-11-18,0.08571428571428572,lowest
2021-02-05,0.08571428571428572,lowest
2021-02-08,0.08571428571428572,lowest
2021-02-12,0.08571428571428572,lowest
2021-02-17,0.08571428571428572,lowest
2021-02-21,0.08571428571428572,lowest
2021-02-22,0.08571428571428572,lowest
2021-02-24,0.08571428571428572,lowest
2021-02-26,0.08571428571428572,lowest
2021-02-28,0.08571428571428572,lowest
2021-01-18,0.09523809523809523,lowest
2021-02-07,0.09523809523809523,lowest
2021-02-09,0.09523809523809523,lowest
2021-02-11,0.09523809523809523,lowest
2021-02-18,0.09523809523809523,lowest
2021-02-25,0.09523809523809523,lowest
2020-07-09,0.10476190476190476,lowest
2020-11-21,0.10476190476190476,lowest
2020-11-27,0.10476190476190476,lowest
2020-11-29,0.10476190476190476,lowest
2021-01-09,0.10476190476190476,lowest
2021-01-10,0.10476190476190476,lowest
2021-01-16,0.10476190476190476,lowest
2021-01-30,0.10476190476190476,lowest
2021-02-02,0.10476190476190476,lowest
2021-02-03,0.10476190476190476,lowest
