date,clustering_coefficient
2021-02-17,0.0505494505494505
2021-02-19,0.0505494505494505
2020-11-14,0.0527472527472527
2021-01-30,0.0527472527472527
2020-10-19,0.0549450549450549
2021-02-16,0.0549450549450549
2021-02-20,0.0593406593406593
2021-02-21,0.0593406593406593
2020-12-22,0.0615384615384615
2021-01-29,0.0615384615384615
2021-02-18,0.0615384615384615
2020-12-20,0.0637362637362637
2020-07-28,0.0659340659340659
2020-11-25,0.0681318681318681
2021-02-02,0.0681318681318681
2021-03-09,0.0681318681318681
2021-03-10,0.0681318681318681
2020-11-09,0.0703296703296703
2021-01-12,0.0703296703296703
2021-01-31,0.0703296703296703
2021-02-08,0.0703296703296703
2020-07-27,0.0725274725274725
2020-12-19,0.0725274725274725
2021-01-07,0.0725274725274725
2020-10-06,0.0747252747252747
2020-10-17,0.0747252747252747
2020-11-24,0.0747252747252747
2020-11-26,0.0747252747252747
2020-12-14,0.0747252747252747
2020-12-21,0.0747252747252747
2021-02-14,0.0747252747252747
2020-07-26,0.0769230769230769
2020-10-18,0.0769230769230769
2020-11-13,0.0769230769230769
2020-11-29,0.0769230769230769
2020-11-30,0.0769230769230769
2021-01-08,0.0769230769230769
2021-01-13,0.0769230769230769
2021-03-07,0.0769230769230769
2020-09-06,0.0791208791208791
2020-12-23,0.0791208791208791
2020-12-26,0.0791208791208791
2020-12-27,0.0791208791208791
2021-01-11,0.0791208791208791
2020-10-03,0.0813186813186813
2020-11-18,0.0813186813186813
2021-01-25,0.0813186813186813
2021-03-01,0.0813186813186813
2020-09-02,0.0835164835164835
2020-10-30,0.0835164835164835
