date,clustering_coefficient
2020-04-06,0.6681318681318681
2020-04-25,0.5912087912087912
2020-04-07,0.5648351648351648
2020-04-26,0.5604395604395604
2020-04-08,0.5384615384615384
2020-04-09,0.5230769230769231
2020-04-05,0.5142857142857142
2020-04-27,0.5032967032967033
2020-03-31,0.4989010989010989
2020-04-02,0.4593406593406593
2020-04-20,0.4571428571428571
2020-04-28,0.4571428571428571
2020-04-24,0.4505494505494505
2020-04-29,0.4505494505494505
2020-04-19,0.4483516483516483
2020-04-03,0.4285714285714285
2020-04-22,0.4263736263736263
2020-04-01,0.4241758241758241
2020-04-21,0.4241758241758241
2020-04-04,0.4065934065934066
2020-04-30,0.3934065934065934
2020-04-18,0.3824175824175824
2020-04-23,0.378021978021978
2020-07-01,0.356043956043956
2020-09-19,0.345054945054945
2020-03-30,0.3428571428571428
2020-06-28,0.3406593406593406
2020-08-18,0.3406593406593406
2020-04-10,0.3384615384615385
2020-09-18,0.3296703296703296
2020-09-20,0.3296703296703296
2020-08-19,0.3274725274725275
2020-06-30,0.3252747252747253
2020-04-11,0.3230769230769231
2020-05-01,0.3142857142857143
2020-08-17,0.3098901098901099
2020-09-16,0.3098901098901099
2020-04-17,0.3076923076923077
2020-06-14,0.3076923076923077
2020-09-26,0.3032967032967033
2020-04-16,0.3010989010989011
2020-04-12,0.2989010989010989
2020-05-23,0.2945054945054945
2020-08-16,0.2945054945054945
2020-06-29,0.2923076923076923
2020-08-20,0.2901098901098901
2020-06-25,0.2857142857142857
2020-09-21,0.2857142857142857
2020-06-16,0.2835164835164835
2020-07-03,0.2835164835164835
